"filename", "language", "JavaScript", "XML", "JavaScript React", "CSS", "JSON", "comment", "blank", "total"
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/cards/card-content.css", "CSS", 0, 0, 0, 70, 0, 1, 15, 86
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/cards/card-content.jsx", "JavaScript React", 0, 0, 23, 0, 0, 0, 1, 24
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/cards/card-image.jsx", "JavaScript React", 0, 0, 36, 0, 0, 0, 2, 38
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/cards/card-otheruser.css", "CSS", 0, 0, 0, 49, 0, 0, 9, 58
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/cards/card-otheruser.jsx", "JavaScript React", 0, 0, 39, 0, 0, 0, 1, 40
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/cards/card.jsx", "JavaScript React", 0, 0, 16, 0, 0, 0, 1, 17
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/counselor-login/counselor-login.jsx", "JavaScript React", 0, 0, 63, 0, 0, 0, 8, 71
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/counselor-reject-patient/counselor-reject-patient.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/counselor-reject-patient/counselor-reject-patient.jsx", "JavaScript React", 0, 0, 7, 0, 0, 0, 2, 9
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/counselor-signup/counselor-signup.jsx", "JavaScript React", 0, 0, 213, 0, 0, 6, 22, 241
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/create-user-component/create-user-component.css", "CSS", 0, 0, 0, 47, 0, 1, 4, 52
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/create-user-component/create-user-component.jsx", "JavaScript React", 0, 0, 150, 0, 0, 0, 6, 156
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/doctor-login/doctor-login.jsx", "JavaScript React", 0, 0, 63, 0, 0, 0, 6, 69
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/doctor-signup/doctor-signup.jsx", "JavaScript React", 0, 0, 214, 0, 0, 6, 23, 243
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/edit-user-info/edit-info-component.jsx", "JavaScript React", 0, 0, 100, 0, 0, 0, 9, 109
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/edit-user-info/edit-styles.css", "CSS", 0, 0, 0, 61, 0, 0, 8, 69
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/edit-user-info/info-component.jsx", "JavaScript React", 0, 0, 44, 0, 0, 0, 2, 46
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/elements/error-message.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 9
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/elements/prepare-message.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 9
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/elements/success-message.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 9
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/footer/footer.css", "CSS", 0, 0, 0, 18, 0, 0, 3, 21
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/footer/footer.jsx", "JavaScript React", 0, 0, 9, 0, 0, 0, 3, 12
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/header/header.css", "CSS", 0, 0, 0, 52, 0, 1, 12, 65
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/header/header.jsx", "JavaScript React", 0, 0, 29, 0, 0, 1, 1, 31
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/landing-page/landing-page.jsx", "JavaScript React", 0, 0, 15, 0, 0, 0, 3, 18
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/list-of-doctor/list-of-doctor.css", "CSS", 0, 0, 0, 101, 0, 3, 28, 132
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/list-of-doctor/list-of-doctor.jsx", "JavaScript React", 0, 0, 77, 0, 0, 0, 3, 80
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/list-of-patient/list-of-patient.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/list-of-patient/list-of-patient.jsx", "JavaScript React", 0, 0, 349, 0, 0, 0, 15, 364
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/loading/loading.jsx", "JavaScript React", 0, 0, 11, 0, 0, 0, 3, 14
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/make-appointment/make-appointment.css", "CSS", 0, 0, 0, 43, 0, 3, 4, 50
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/make-appointment/make-appointment.jsx", "JavaScript React", 0, 0, 116, 0, 0, 4, 5, 125
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-data-analytics/chart-component/card-by-day.css", "CSS", 0, 0, 0, 27, 0, 0, 4, 31
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-data-analytics/chart-component/card-by-day.jsx", "JavaScript React", 0, 0, 40, 0, 0, 0, 2, 42
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-data-analytics/chart-component/chart-by-month.jsx", "JavaScript React", 0, 0, 46, 0, 0, 0, 4, 50
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-data-analytics/chart-component/chart-by-week.jsx", "JavaScript React", 0, 0, 45, 0, 0, 0, 2, 47
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-data-analytics/chart-component/data.json", "JSON", 0, 0, 0, 0, 76, 0, 0, 76
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-data-analytics/dashboard-cards-component.jsx", "JavaScript React", 0, 0, 38, 0, 0, 0, 5, 43
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-data-analytics/dashboard-cards.css", "CSS", 0, 0, 0, 54, 0, 1, 13, 68
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-data-analytics/dashboard-chart-component.jsx", "JavaScript React", 0, 0, 115, 0, 0, 0, 7, 122
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-data-analytics/dashboard-chart.css", "CSS", 0, 0, 0, 102, 0, 7, 19, 128
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-data-analytics/manager-data-analytics.css", "CSS", 0, 0, 0, 6, 0, 0, 0, 6
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-data-analytics/manager-data-analytics.jsx", "JavaScript React", 0, 0, 53, 0, 0, 0, 2, 55
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-data-analytics/pie-charts/pie-chart-assessment.css", "CSS", 0, 0, 0, 6, 0, 0, 1, 7
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-data-analytics/pie-charts/pie-chart-total-assessments.jsx", "JavaScript React", 0, 0, 59, 0, 0, 0, 7, 66
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-edit-counselor/manager-edit-counselor.css", "CSS", 0, 0, 0, 97, 0, 0, 17, 114
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-edit-counselor/manager-edit-counselor.jsx", "JavaScript React", 0, 0, 209, 0, 0, 0, 10, 219
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-edit-doctor/manager-edit-doctor.css", "CSS", 0, 0, 0, 104, 0, 0, 22, 126
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-edit-doctor/manager-edit-doctor.jsx", "JavaScript React", 0, 0, 206, 0, 0, 0, 11, 217
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-edit-patient/manager-edit-patient.css", "CSS", 0, 0, 0, 104, 0, 0, 19, 123
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-edit-patient/manager-edit-patient.jsx", "JavaScript React", 0, 0, 206, 0, 0, 0, 11, 217
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-sidebar/manager-sidebar.css", "CSS", 0, 0, 0, 26, 0, 0, 4, 30
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/manager-sidebar/manager-sidebar.jsx", "JavaScript React", 0, 0, 46, 0, 0, 1, 3, 50
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/pagination/pagination.css", "CSS", 0, 0, 0, 30, 0, 0, 6, 36
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/pagination/pagination.jsx", "JavaScript React", 0, 0, 52, 0, 0, 0, 4, 56
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/patient-home/patient-home.jsx", "JavaScript React", 0, 0, 6, 0, 0, 0, 1, 7
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/patient-info/patient-info.css", "CSS", 0, 0, 0, 36, 0, 1, 1, 38
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/patient-info/patient-info.jsx", "JavaScript React", 0, 0, 46, 0, 0, 0, 2, 48
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/patient-login/patient-login.css", "CSS", 0, 0, 0, 116, 0, 2, 18, 136
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/patient-login/patient-login.jsx", "JavaScript React", 0, 0, 64, 0, 0, 0, 5, 69
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/patient-signup/patient-signup.css", "CSS", 0, 0, 0, 121, 0, 4, 20, 145
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/patient-signup/patient-signup.jsx", "JavaScript React", 0, 0, 201, 0, 0, 6, 23, 230
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/patient-status/patient-status.css", "CSS", 0, 0, 0, 76, 0, 0, 9, 85
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/patient-status/patient-status.jsx", "JavaScript React", 0, 0, 179, 0, 0, 3, 8, 190
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/reject-modal/reject-modal.css", "CSS", 0, 0, 0, 62, 0, 2, 8, 72
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/reject-modal/reject-modal.jsx", "JavaScript React", 0, 0, 41, 0, 0, 0, 6, 47
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/side-nav-container/side-nav-container.jsx", "JavaScript React", 0, 0, 3, 0, 0, 0, 1, 4
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/signup/counselor-signup.jsx", "JavaScript React", 0, 0, 101, 0, 0, 0, 13, 114
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/signup/doctor-signup.jsx", "JavaScript React", 0, 0, 101, 0, 0, 0, 13, 114
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/sub-footer/contact-us.jsx", "JavaScript React", 0, 0, 46, 0, 0, 0, 1, 47
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/sub-footer/sub-footer.css", "CSS", 0, 0, 0, 88, 0, 0, 18, 106
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/sub-footer/sub-footer.jsx", "JavaScript React", 0, 0, 50, 0, 0, 0, 3, 53
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/vertical-space/vertical-space.jsx", "JavaScript React", 0, 0, 9, 0, 0, 0, 2, 11
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/view-assessment/index.css", "CSS", 0, 0, 0, 48, 0, 4, 3, 55
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/view-assessment/index.jsx", "JavaScript React", 0, 0, 32, 0, 0, 2, 1, 35
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/view-schedule/view-schedule.css", "CSS", 0, 0, 0, 88, 0, 0, 16, 104
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/view-schedule/view-schedule.jsx", "JavaScript React", 0, 0, 77, 0, 0, 0, 6, 83
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/admin-login-page.jsx", "JavaScript React", 0, 0, 35, 0, 0, 1, 8, 44
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/assessment-page.jsx", "JavaScript React", 0, 0, 56, 0, 0, 0, 8, 64
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/contact-us.jsx", "JavaScript React", 0, 0, 18, 0, 0, 0, 4, 22
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/counselor-list-of-patient.jsx", "JavaScript React", 0, 0, 70, 0, 0, 0, 13, 83
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/counselor-login-page.jsx", "JavaScript React", 0, 0, 43, 0, 0, 1, 10, 54
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/counselor-make-appointment.jsx", "JavaScript React", 0, 0, 47, 0, 0, 0, 8, 55
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/counselor-patient-details.jsx", "JavaScript React", 0, 0, 6, 0, 0, 0, 1, 7
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/counselor-signup-page.jsx", "JavaScript React", 0, 0, 62, 0, 0, 1, 10, 73
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/counselor-view-schedule.jsx", "JavaScript React", 0, 0, 31, 0, 0, 0, 5, 36
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/doctor-list-of-patient.jsx", "JavaScript React", 0, 0, 59, 0, 0, 0, 11, 70
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/doctor-login-page.jsx", "JavaScript React", 0, 0, 43, 0, 0, 1, 9, 53
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/doctor-make-appointment.jsx", "JavaScript React", 0, 0, 47, 0, 0, 0, 8, 55
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/doctor-patient-details.jsx", "JavaScript React", 0, 0, 6, 0, 0, 0, 1, 7
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/doctor-signup-page.jsx", "JavaScript React", 0, 0, 62, 0, 0, 1, 9, 72
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/doctor-view-schedule.jsx", "JavaScript React", 0, 0, 31, 0, 0, 0, 5, 36
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/edit-user-info.jsx", "JavaScript React", 0, 0, 80, 0, 0, 2, 11, 93
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/error-boundary.jsx", "JavaScript React", 0, 0, 57, 0, 0, 4, 8, 69
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/forward-to-doctor.jsx", "JavaScript React", 0, 0, 56, 0, 0, 0, 11, 67
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/header.jsx", "JavaScript React", 0, 0, 39, 0, 0, 0, 5, 44
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/landing-page.jsx", "JavaScript React", 0, 0, 4, 0, 0, 0, 1, 5
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/manage-counselor.jsx", "JavaScript React", 0, 0, 51, 0, 0, 0, 10, 61
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/manage-doctor.jsx", "JavaScript React", 0, 0, 51, 0, 0, 0, 10, 61
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/manage-patient.jsx", "JavaScript React", 0, 0, 51, 0, 0, 0, 10, 61
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/manager-create-user.jsx", "JavaScript React", 0, 0, 59, 0, 0, 3, 10, 72
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/manager-data-analytics.jsx", "JavaScript React", 0, 0, 76, 0, 0, 1, 13, 90
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/patient-details.jsx", "JavaScript React", 0, 0, 41, 0, 0, 0, 3, 44
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/patient-login.jsx", "JavaScript React", 0, 0, 41, 0, 0, 1, 7, 49
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/patient-signup.jsx", "JavaScript React", 0, 0, 61, 0, 0, 1, 9, 71
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/status-page.jsx", "JavaScript React", 0, 0, 30, 0, 0, 0, 6, 36
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/css/colors.js", "JavaScript", 24, 0, 0, 0, 0, 0, 12, 36
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/css/units.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/css/z-index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 2
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/index.css", "CSS", 0, 0, 0, 31, 0, 1, 8, 40
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/index.js", "JavaScript", 10, 0, 0, 0, 0, 3, 6, 19
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/lib/app-state-hoc.jsx", "JavaScript React", 0, 0, 43, 0, 0, 11, 6, 60
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/lib/assessment-questions.js", "JavaScript", 26, 0, 0, 0, 0, 0, 2, 28
