Date : 2022-10-30 20:24:50
Directory : /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src
Total : 87 files,  3249 codes, 83 comments, 406 blanks, all 3738 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/patient-signup/patient-signup.jsx           | JavaScript React |         79 |          0 |         10 |         89 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/signup/counselor-signup.jsx                 | JavaScript React |        101 |          0 |         13 |        114 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/signup/doctor-signup.jsx                    | JavaScript React |        101 |          0 |         13 |        114 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/sub-footer/contact-us.jsx                   | JavaScript React |         43 |          0 |          1 |         44 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/sub-footer/sub-footer.css                   | CSS              |         51 |          0 |          9 |         60 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/sub-footer/sub-footer.jsx                   | JavaScript React |         26 |          0 |          3 |         29 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/view-assessment/index.css                   | CSS              |         48 |          4 |          3 |         55 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/view-assessment/index.jsx                   | JavaScript React |         33 |          2 |          2 |         37 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/assessment-page.jsx                         | JavaScript React |         51 |          0 |          7 |         58 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/contact-us.jsx                              | JavaScript React |         19 |          0 |          3 |         22 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/counselor-list-of-patient.jsx               | JavaScript React |         24 |          0 |          5 |         29 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/counselor-login-page.jsx                    | JavaScript React |         40 |          1 |          9 |         50 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/counselor-patient-details.jsx               | JavaScript React |          5 |          0 |          1 |          6 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/counselor-signup-page.jsx                   | JavaScript React |         56 |          1 |          9 |         66 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/doctor-list-of-patient.jsx                  | JavaScript React |         24 |          0 |          5 |         29 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/doctor-login-page.jsx                       | JavaScript React |         40 |          1 |          8 |         49 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/doctor-patient-details.jsx                  | JavaScript React |          5 |          0 |          1 |          6 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/doctor-signup-page.jsx                      | JavaScript React |         56 |          1 |          8 |         65 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/error-boundary.jsx                          | JavaScript React |         57 |          4 |          8 |         69 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/header.jsx                                  | JavaScript React |         26 |          0 |          4 |         30 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/landing-page.jsx                            | JavaScript React |          4 |          0 |          1 |          5 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/patient-details.jsx                         | JavaScript React |         36 |          0 |          1 |         37 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/patient-login.jsx                           | JavaScript React |         38 |          1 |          7 |         46 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/containers/patient-signup.jsx                          | JavaScript React |         55 |          1 |          8 |         64 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/css/colors.js                                          | JavaScript       |         24 |          0 |         12 |         36 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/css/units.js                                           | JavaScript       |          1 |          0 |          0 |          1 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/css/z-index.js                                         | JavaScript       |          1 |          0 |          1 |          2 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/index.css                                              | CSS              |         31 |          1 |          8 |         40 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/index.js                                               | JavaScript       |         10 |          3 |          6 |         19 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/lib/app-state-hoc.jsx                                  | JavaScript React |         43 |         11 |          6 |         60 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/lib/assessment-questions.js                            | JavaScript       |         26 |          0 |          2 |         28 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/lib/connected-intl-provider.jsx                        | JavaScript React |          8 |          0 |          3 |         11 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/lib/messages.js                                        | JavaScript       |          2 |          0 |          0 |          2 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/lib/path-constants.js                                  | JavaScript       |         19 |          4 |          5 |         28 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/lib/request.js                                         | JavaScript       |         29 |          1 |          2 |         32 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/lib/types.js                                           | JavaScript       |         17 |          0 |          3 |         20 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/logo.svg                                               | XML              |          1 |          0 |          0 |          1 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/reportWebVitals.js                                     | JavaScript       |         12 |          0 |          2 |         14 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/setupTests.js                                          | JavaScript       |          1 |          4 |          1 |          6 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/store/actions/couselor.js                              | JavaScript       |         49 |          2 |          2 |         53 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/store/actions/doctor.js                                | JavaScript       |         49 |          2 |          2 |         53 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/store/actions/locales.js                               | JavaScript       |         32 |          1 |          3 |         36 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/store/actions/patient.js                               | JavaScript       |         64 |          2 |          2 |         68 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/store/actions/user.js                                  | JavaScript       |         73 |          4 |          4 |         81 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/store/reducers/couselor.js                             | JavaScript       |         51 |          0 |          3 |         54 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/store/reducers/doctor.js                               | JavaScript       |         51 |          0 |          3 |         54 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/store/reducers/index.js                                | JavaScript       |         20 |          0 |          3 |         23 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/store/reducers/locales.js                              | JavaScript       |         27 |          0 |          4 |         31 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/store/reducers/patient.js                              | JavaScript       |         57 |          0 |          3 |         60 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/store/reducers/user.js                                 | JavaScript       |         39 |          0 |          3 |         42 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/store/store.js                                         | JavaScript       |         11 |          0 |          5 |         16 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/store/types.js                                         | JavaScript       |         23 |          3 |          7 |         33 |
| Total                                                                                                                                                                                    |                  |      3,249 |         83 |        406 |      3,738 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
